0,200
238,273
477,334
715,325
954,303
1192,289
1431,297
1669,292
1908,279
2146,282
2385,270
2623,290
2862,298
3101,297
3339,242
3578,187
3816,193
4055,191
4293,255
4532,177
4770,174
5009,182
5247,192
5486,209
5725,440
5963,386
6202,201
6440,144
6679,83
6917,86
7156,81
7394,89
7633,93
7871,92
8110,92
8349,100
8587,99
8826,99
9064,117
9303,112
9541,103
9780,88
10018,55
10257,75
10495,112
10734,115
10973,128
11211,127
11450,130
11688,148
11927,142
12165,141
12404,148
12642,145
12881,153
13119,152
13358,154
13597,159
13835,155
14074,164
14312,143
14551,149
14789,150
15028,152
15266,150
15505,157
15743,147
15982,157
16221,167
16459,149
16698,166
16936,166
17175,160
17413,164
17652,166
17890,159
18129,179
18367,175
18606,114
18845,187
19083,174
19322,191
19560,202
19799,202
20037,207
20276,211
20514,219
20753,221
20991,234
21230,236
21469,207
21707,233
21946,229
22184,205
22423,134
22661,158
22900,225
23138,237
23377,244
23615,244
23854,266
24093,260
24331,263
24570,280
24808,281
25047,283
25285,283
25524,265
25762,287
26001,290
26239,292
26478,305
26717,280
26955,302
27194,294
27432,299
27671,273
27909,286
28148,272
28386,277
28625,284
28863,265
29102,289
29341,289
29579,309
29818,247
23892,900,basic,Python
23676,627,basic,null
3642,462,basic,Perl
3160,434,basic,null
23676,363,basic,Python
27650,340,basic,null
18735,239,basic,null
20601,236,basic,null
17282,235,basic,null
25536,219,basic,CSS
6494,209,basic,JavaScript
16356,209,basic,Python
29001,207,basic,JavaScript
21491,201,basic,null
5482,200,basic,JavaScript
11413,200,basic,null
540,189,basic,null
10923,185,basic,null
13588,185,basic,null
22614,185,basic,null
26417,183,basic,null
24152,176,basic,null
17882,173,basic,null
17470,172,basic,JavaScript
21794,171,basic,null
25374,170,basic,null
21118,169,basic,null
13513,168,basic,Standard ML
14896,168,basic,JavaScript
12790,163,basic,null
19818,163,basic,null
20268,163,basic,Shell
21401,163,basic,null
24471,163,basic,null
25588,162,basic,CSS
20951,161,basic,Shell
22525,161,basic,R
27497,161,basic,null
1612,160,basic,null
6101,160,basic,C
12694,160,basic,Objective-C
23626,160,basic,null
21387,159,basic,JavaScript
24079,159,basic,null
15082,158,basic,null
18152,158,basic,null
20712,158,basic,Shell
24255,158,basic,CSS
25458,158,basic,null
25597,158,basic,null
27384,158,basic,Ruby
509,157,basic,null
5262,157,basic,PHP
15877,157,basic,null
17101,157,basic,JavaScript
20604,157,basic,null
21229,157,basic,C
26935,157,basic,C
28410,157,basic,JavaScript
736,156,basic,null
1581,156,basic,null
2178,156,basic,PHP
2948,156,basic,JavaScript
13865,156,basic,Shell
25536,156,basic,JavaScript
26077,156,basic,ActionScript
4217,155,basic,null
5895,155,basic,Java
18721,155,basic,null
24407,155,basic,null
24460,155,basic,JavaScript
25819,155,basic,null
26747,155,basic,Shell
890,154,basic,C#
5644,154,basic,JavaScript
6010,154,basic,null
25736,154,basic,JavaScript
975,153,basic,PHP
1344,153,basic,JavaScript
1605,153,basic,JavaScript
2759,153,basic,null
3032,153,basic,C
5721,153,basic,null
5890,153,basic,null
6117,153,basic,null
8851,153,basic,null
10109,153,basic,Shell
10647,153,basic,null
11820,153,basic,null
12257,153,basic,JavaScript
18034,153,basic,CSS
21747,153,basic,null
25645,153,basic,CSS
25813,153,basic,CSS
26423,153,basic,null
27233,153,basic,null
28720,153,basic,null
571,152,basic,Objective-C
1001,152,basic,Ruby
1851,152,basic,PHP
1862,152,basic,JavaScript
2645,152,basic,JavaScript
5644,152,basic,null
5736,152,basic,PHP
5882,152,basic,ActionScript
5891,152,basic,JavaScript
9462,152,basic,null
12187,152,basic,JavaScript
14194,152,basic,PHP
14642,152,basic,C++
18152,152,basic,null
19412,152,basic,null
20500,152,basic,Shell
24469,152,basic,null
25759,152,basic,JavaScript
25789,152,basic,Ruby
26889,152,basic,JavaScript
28555,152,basic,PHP
879,151,basic,C++
1597,151,basic,C#
1702,151,basic,Java
1749,151,basic,null
1851,151,basic,Clojure
2555,151,basic,Ruby
2991,151,basic,Ruby
3276,151,basic,Shell
3875,151,basic,JavaScript
4411,151,basic,Java
5718,151,basic,JavaScript
5892,151,basic,Lua
5959,151,basic,Go
6485,151,basic,PHP
7238,151,basic,Java
9999,151,basic,Shell
10721,151,basic,Python
14718,151,basic,C++
16013,151,basic,null
18771,151,basic,CSS
21353,151,basic,CSS
21490,151,basic,C
22226,151,basic,PHP
23122,151,basic,null
24494,151,basic,null
24509,151,basic,CSS
24630,151,basic,null
24887,151,basic,null
25415,151,basic,null
25800,151,basic,C
26411,151,basic,Python
28202,151,basic,Java
28208,151,basic,PHP
385,150,basic,PHP
385,150,basic,null
615,150,basic,null
679,150,basic,PHP
890,150,basic,C#
1434,150,basic,JavaScript
1502,150,basic,null
1631,150,basic,C
2082,150,basic,Ruby
2539,150,basic,null
3012,150,basic,Ruby
3055,150,basic,CoffeeScript
3630,150,basic,JavaScript
5175,150,basic,Java
5303,150,basic,PHP
5987,150,basic,null
11246,150,basic,null
11267,150,basic,null
12974,150,basic,null
13131,150,basic,Shell
15183,150,basic,null
17616,150,basic,null
19866,150,basic,Java
19964,150,basic,C++
19964,150,basic,C++
21490,150,basic,Java
22493,150,basic,PHP
22575,150,basic,Ruby
22954,150,basic,PHP
23272,150,basic,null
23830,150,basic,JavaScript
25209,150,basic,null
26052,150,basic,Python
26423,150,basic,CSS
26678,150,basic,JavaScript
26772,150,basic,Shell
28063,150,basic,null
28374,150,basic,CSS
